wavelength,strength,ID
1131.7711,20.52,UI
1131.8481,18.56,UI
1131.8839,49.39,UI
1132.142,203.54,UI
1132.1773,136.67,UI
1132.2463,30.23,UI
1132.5222,46.03,UI
1132.5587,24.98,UI
1132.8004,15.06,UI
1132.9386,109.22,UI
1133.2546,16.63,UI
1133.4048,182.97,UI
1133.4781,13.93,UI
1133.6068,83.5,UI
1133.769,31.02,UI
1133.9711,45.55,UI
1134.3127,90.87,UI
1134.4469,14.88,UI
1134.8345,99.41,UI
1135.3365,18.89,UI
1135.375,29.61,UI
1135.3918,27.97,UI
1135.4096,73.21,UI
1135.6898,24.44,UI
1135.8307,19.95,?
1135.8972,24.77,UI
1135.9438,837.83,UI
1136.2105,15.79,UI
1136.2346,21.67,UI
1136.2968,31.55,UI
1136.429,154.28,UI
1136.6932,14.76,UI
1136.9775,18.26,UI
1137.0357,26.03,UI
1137.1548,25.48,UI
1137.1682,18.96,?
1137.6958,577.76,UI
1137.9822,615.98,UI
1138.1227,32.05,UI
1138.3701,113.62,UI
1138.438,24.36,UI
1138.4666,30.23,UI
1138.7248,10159.86,UI
1138.7693,140.59,UI
1138.8335,12.98,UI
1138.8873,107.03,UI
1139.0853,51.83,UI
1139.2782,37.65,UII
1139.3554,6872.65,Ne
1139.3683,43.14,UI
1139.392,14.32,UI
1139.5191,133.73,UI
1139.7063,73.23,UI
1140.1571,107.79,UI
1140.2402,31.14,UI
1140.2555,35.64,UI
1140.3525,108.81,UI
1140.8953,277.04,UI
