1377.787937  68.000000  	 ThI 
1376.396011  95.000000  	 ThI 
1376.032692  51.000000  	 ThII
1375.668864  205.000000 	 ThI 
1375.191769  42.000000  	 ThI 
1374.963148  77.000000  	 ThI 
1374.370743  1070.000000 	 ThI 
1374.233094  138.000000 	 ThI 
1373.919596  91.000000  	 ThI 
1373.797287  96.000000  	 ThI 
1373.502117  159.000000 	 ThI 
1372.794456  920.000000 	 ArII
1372.345700  160.000000 	 ThI 
1372.232777  1515000.000000 	 ArI 
1370.295070  85.000000  	 ThII
1368.626169  191.000000 	 ThI 
1368.229063  342000.000000 	 ArI 
1368.079937  66.000000  	 ThI 
1367.622268  65.000000  	 ThI 
1366.848869  135.000000 	 ThI 
1366.632239  83.000000  	 ThI 
1366.619221  92.000000  	 ThI 
1366.204393  300.000000 	 ArI 
1365.651979  330.000000 	 ArI 
1365.133922  1160.000000 	 ThI 
1363.980056  86.000000  	 ThII
1363.728217  1260.000000 	 ArII
1363.396964  108.000000 	  ?    
1363.265593  85.000000  	 ThI 
1363.003558  60.000000  	 ThI 
1362.984368  195.000000 	 ThII
1362.638463  479000.000000 	 ArI 
1361.332253  80.000000  	 ThI 
1360.341351  167.000000 	 ThI 
1360.305265  63000.000000 	 ArI 
1360.231605  124.000000 	 ThI 
1360.188237  128.000000 	 ThI 
1360.153067  97.000000  	 ThI 
1359.249347  560.000000 	 ThI 
1358.322150  190.000000 	 ThI 
1358.311888  640.000000 	 ThI 
1357.732806  37000.000000 	 ArI 
1357.411847  275.000000 	 ThI 
1356.937128  8700.000000 	 ThI 
1356.609147  55.000000  	 ThI 
1355.280382  127.000000 	 ThI 
1354.790522  22500.000000 	 ArI 
1354.444463  233.000000 	 ThI 
1354.212748  157.000000 	 ThI 
1353.689796  29.000000  	  ?    
1353.591032  116.000000 	 ThI 
1352.184348  2600.000000 	 ThI 
1352.140746  73.000000  	 ThI 
1351.836971  53.000000  	 ThI 
1350.788343  1079000.000000 	 ArI 
1350.469458  360.000000 	 ThI 
1350.309688  67000.000000 	 ArI 
1349.730671  450.000000 	 ThI 
1349.513587  87.000000  	 ThI 
1348.799259  183.000000 	 ThI 
1348.788307  161.000000 	 ThI 
1347.640950  940.000000 	 ArII
1346.445377  88.000000  	 Th   
1345.400699  1060.000000 	 ArII
1345.288463  269.000000 	 ThI 
1345.143096  420.000000 	 ThI 
1344.759648  303.000000 	 ThI 
1344.425203  490.000000 	 ThI 
1344.277147  49.000000  	 ThI 
1343.700231  117.000000 	 ThI 
1343.057896  219.000000 	 ThI 
1343.036467  129.000000 	 ThI 
1342.859705  410.000000 	 ArII
1342.715657  105.000000 	 ThI 
1342.494858  200.000000 	 ThI 
1342.324109  430.000000 	 ThI 
1341.025614  142000.000000 	 ArI 
1340.861317  690.000000 	 ThI 
1338.989385  134.000000 	 ThI 
1338.587224  550.000000 	 ThI 
1337.766352  66.000000  	 ThI 
1337.748868  190.000000 	 ArI 
1337.244771  1790.000000 	 ThI 
1337.148244  44000.000000 	 ArI 
1337.076740  815000.000000 	 ArI 
1336.970142  700.000000 	 ArI 
1336.844243  80.000000  	  ?    
1334.035143  280.000000 	 ThI 
1333.831101  51.000000  	 ThI 
1333.376353  16500.000000 	 ArI 
1332.117199  770.000000 	 ArI 
1331.834026  40.000000  	 ThI 
1331.685096  448000.000000 	 ArI 
1330.595109  11100.000000 	 ArI 
1329.966390  39.000000  	 ThI 
1329.445750  48.000000  	 ThI 
1328.507997  430.000000 	 ThI 
1328.328281  50.000000  	 ThI 
1327.897798  1150.000000 	 ThI 
1327.626610  651000.000000 	 ArI 
1327.495662  68.000000  	 ThI 
1327.150757  81.000000  	 ThI 
1326.725902  92.000000  	 ThI 
1326.070375  224.000000 	 ThI 
1325.748595  1540.000000 	 ThI 
1325.248066  137.000000 	 ThI 
1325.135304  247.000000 	 ThI 
1324.928113  70.000000  	 ThI 
1324.758454  560.000000 	 ArI 
1324.336129  303.000000 	 ThI 
1323.978104  170.000000 	 ThI 
1323.846894  96.000000  	 ThI 
1323.790463  910.000000 	 ArI 
1323.451302  120000.000000 	 ArI 
1323.172382  201000.000000 	 ArI 
1322.700444  32.000000  	 ThII
1321.760712  229000.000000 	 ArI 
1320.889585  1970.000000 	 ThI 
1320.457587  63.000000  	 ThI 
1318.788990  110.000000 	 ThI 
1318.754746  139.000000 	 ThI 
1318.738364  218.000000 	 ThI 
1316.020764  62.000000  	 ThI 
1315.743509  290.000000 	 ArI 
1315.454258  103.000000 	 ThI 
1315.270098  213.000000 	 ThI 
1315.229809  55.000000  	 ThI 
1314.950715  570.000000 	 ThII
1314.814470  31.000000  	 ThI 
1314.653371  118.000000 	 ThI 
1313.387340  460.000000 	 ArI 
1313.209242  125.000000 	 ThI 
1313.151368  1040.000000 	 ThI 
1312.769379  34.000000  	 ThI 
1312.033811  101.000000 	 ThI 
1311.267224  140.000000 	 ArI 
1311.148972  52.000000  	 ThI 
1311.069606  200.000000 	 ArI 
1310.641069  32.000000  	 ThI 
1310.543506  57.000000  	 ThI 
1310.470824  137.000000 	 ThI 
1307.440564  3140.000000 	 ThI 
1307.297937  330.000000 	 ThI 
1305.966953  63.000000  	 ThI 
1305.945889  810.000000 	 ThI 
1305.474729  540.000000 	 ArI 
1305.259635  100.000000 	 ThI 
1304.774686  34.000000  	 ThI 
1304.697316  430.000000 	 ThI 
1303.833764  140.000000 	 ThI 
1303.468999  268.000000 	 ThI 
1303.198919  7200.000000 	 ArI 
1302.974843  1770.000000 	 ThI 
1302.020775  86.000000  	 ThII
1301.371087  293.000000 	 ThI 
1301.182192  221000.000000 	 ArI 
1301.138519  1140.000000 	 ThI 
1300.971409  60.000000  	 ThII
1300.783668  161.000000 	 ThII
1299.807891  219.000000 	 ThI 
1299.313984  80.000000  	 ThI 
1299.225342  1130.000000 	 ArI 
1299.172865  67.000000  	 ThI 
1299.048195  370.000000 	 ThI 
1298.608440  83.000000  	 ThI 
1297.428100  52.000000  	 ThI 
1296.723812  139.000000 	 ThI 
1296.473772  104.000000 	 ThI 
1296.336251  3980.000000 	 ThI 
1296.020405  576000.000000 	 ArI 
1295.562578  1700.000000 	 ThI 
1294.777199  170.000000 	 ArI 
1294.420328  590.000000 	 ThII
1294.310610  61.000000  	 ThI 
