X,Y,BRIGHTNESS
2598,91,1303.981201171875
3882,91,1285.576171875
2135,92,390.365478515625
2346,92,1420.9736328125
3470,92,994.6036987304688
4008,92,753.151611328125
2108,93,1166.2152099609375
2349,93,1116.4722900390625
738,94,349.9087829589844
741,94,1534.079833984375
1937,94,1087.1326904296875
2203,94,209.52919006347656
2267,94,4016.68115234375
2543,94,2531.875
3491,94,1915.4312744140625
332,95,203.57029724121094
736,95,1449.402099609375
2343,95,2799.922119140625
33,96,598.7689208984375
1751,96,739.5770874023438
2250,96,6602.3984375
2611,96,1388.3160400390625
39,97,2140.555419921875
2587,97,113.71581268310547
3459,97,864.8048095703125
3884,97,485.464111328125
2474,98,2325.6845703125
2508,98,476.6747741699219
2509,98,1522.8365478515625
489,99,214.56442260742188
931,99,3682.2861328125
2040,99,1443.8975830078125
3139,99,158.0098419189453
2023,100,337.89288330078125
3023,100,3359.029541015625
3154,100,805.293701171875
3541,100,1050.9365234375
3788,100,1619.9124755859375
3842,100,2921.264404296875
4004,100,1615.3265380859375
2646,101,1739.609619140625
2686,101,1797.3250732421875
1179,102,2374.379638671875
2026,102,5877.84375
2208,102,138.3862762451172
3009,102,309.00494384765625
3916,102,2584.735595703125
549,103,340.0085144042969
1333,103,175.2457733154297
1831,103,850.3878173828125
1970,103,994.9237060546875
2199,103,1368.50927734375
879,104,268.27740478515625
966,104,200.6070556640625
1826,104,2636.666748046875
2201,104,2593.369140625
2482,104,812.9439086914062
2543,104,2242.222412109375
3681,104,1646.6829833984375
3796,104,1763.0953369140625
250,105,153.28565979003906
2183,105,164.4422607421875
2184,105,536.9322509765625
2597,105,105.58920288085938
2651,105,1166.1685791015625
1985,106,1081.8331298828125
2263,106,4467.94091796875
2965,106,613.1790771484375
3557,106,909.3370971679688
3731,106,1699.3525390625
3851,106,1396.811767578125
735,107,126.51094818115234
736,107,5885.95947265625
3336,107,1137.6253662109375
888,108,3112.775146484375
1298,108,1034.8448486328125
2602,108,1833.9681396484375
2846,108,1706.4122314453125
3324,108,139.78627014160156
324,109,166.42039489746094
757,109,130.1842041015625
2267,109,1651.4547119140625
2275,109,943.8717651367188
2279,109,935.7257080078125
3464,109,311.0217590332031
132,110,590.33056640625
